Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
2020-11-08,MS,125885,50115,46288.0,3472.0,465.0,1377.0,,,6482.0,18490.0,3472.0,80538.0,42679,3433.0,1617.0,1547.0,43.0,8.0,86.0,,,47.0,95.0,43.0,2844.0,556.0
2020-11-08,MT,39679,15593,130.0,,75.0,4020.0,,,1353.0,18508.0,651.0,16102.0,22926,456.0,148.0,,,,90.0,,,,218.0,,,
2020-11-08,NC,293339,143181,53658.0,,4391.0,3953.0,371.0,,33153.0,54632.0,57053.0,139111.0,97175,4607.0,2717.0,1278.0,,51.0,66.0,7.0,,277.0,211.0,362.0,3678.0,567.0
2020-11-08,ND,54305,29323,1916.0,,838.0,2276.0,,688.0,125.0,19139.0,,,54305,480.0,,,,,,,,,480.0,,,480.0
2020-11-08,NE,83969,48090,3029.0,,1786.0,667.0,119.0,,2445.0,27833.0,15194.0,37622.0,31153,703.0,551.0,43.0,,19.0,13.0,0.0,,17.0,60.0,110.0,451.0,142.0
2020-11-08,NH,12488,8098,428.0,1294.0,318.0,15.0,6.0,116.0,170.0,2043.0,1294.0,9151.0,2043,489.0,434.0,9.0,14.0,4.0,0.0,0.0,0.0,1.0,27.0,14.0,448.0,27.0
2020-11-08,NJ,254595,68845,25034.0,51333.0,8275.0,,,,22876.0,78232.0,51333.0,125030.0,78232,16429.0,8777.0,2886.0,3240.0,888.0,,,,329.0,309.0,3240.0,12880.0,309.0
2020-11-08,NM,54881,7880,872.0,23681.0,422.0,11217.0,,,,10809.0,23681.0,20391.0,10809,1118.0,257.0,12.0,288.0,6.0,473.0,,,,82.0,288.0,748.0,82.0
2020-11-08,NV,110022,25673,6497.0,35529.0,6074.0,447.0,,,8287.0,27515.0,35529.0,46978.0,27515,1851.0,673.0,151.0,318.0,153.0,13.0,,,5.0,538.0,318.0,995.0,538.0
2020-11-08,NY,529036,,,,,,,,,529036.0,,,529036,33955.0,10247.0,7925.0,8168.0,2133.0,,,,2267.0,3215.0,8168.0,22572.0,3215.0
2020-11-08,OH,250268,148112,37981.0,,5143.0,271.0,302.0,7118.0,14885.0,36456.0,12094.0,171471.0,66703,5517.0,4282.0,915.0,,51.0,4.0,3.0,81.0,43.0,138.0,117.0,5151.0,249.0
2020-11-08,OK,136258,78970,9015.0,,3512.0,13521.0,,,5157.0,26083.0,19322.0,82329.0,34607,1438.0,1043.0,86.0,,25.0,127.0,,,47.0,110.0,84.0,1151.0,203.0
2020-11-08,OR,50448,21344,1525.0,,1338.0,1129.0,693.0,959.0,15439.0,8021.0,17601.0,24692.0,8155,730.0,481.0,20.0,,20.0,14.0,7.0,19.0,76.0,93.0,91.0,501.0,138.0
2020-11-08,PA,230894,96591,27155.0,,4693.0,,,,2389.0,100066.0,18396.0,61024.0,151474,9020.0,6652.0,1735.0,,174.0,,,,414.0,45.0,508.0,8467.0,45.0
2020-11-08,PR,38100,,,,,,,,,38100.0,,,,872.0,,,,,,,,,872.0,,,
2020-11-08,RI,36380,11097,3022.0,11370.0,482.0,94.0,0.0,233.0,428.0,9654.0,11370.0,15356.0,9654,1224.0,803.0,63.0,114.0,14.0,1.0,0.0,0.0,0.0,229.0,114.0,881.0,229.0
2020-11-08,SC,185688,78613,45727.0,,1768.0,,,,14044.0,45536.0,13523.0,103643.0,68522,4036.0,2004.0,1338.0,,27.0,,,,106.0,561.0,120.0,2923.0,993.0
2020-11-08,SD,55404,36484,1606.0,2247.0,928.0,6973.0,,,1244.0,5922.0,2247.0,47235.0,5922,536.0,399.0,5.0,7.0,8.0,83.0,,,6.0,28.0,7.0,501.0,28.0
2020-11-08,TN,281851,162480,45190.0,,2449.0,352.0,196.0,,29405.0,41779.0,28705.0,188114.0,65032,3595.0,2526.0,830.0,,27.0,4.0,3.0,,140.0,65.0,170.0,3315.0,110.0
2020-11-08,TX,956234,18001,9737.0,23455.0,857.0,,,,283.0,903901.0,23455.0,28878.0,903901,18743.0,5918.0,2013.0,10209.0,338.0,,,,99.0,166.0,10209.0,8368.0,166.0
2020-11-08,UT,132621,72517,2148.0,36012.0,2828.0,1939.0,4386.0,,12723.0,13377.0,36012.0,83232.0,13377,659.0,381.0,9.0,129.0,29.0,41.0,30.0,,49.0,35.0,129.0,495.0,35.0
2020-11-08,VA,192175,64187,37022.0,41280.0,5955.0,252.0,,1791.0,4602.0,37086.0,41280.0,113809.0,37086,3707.0,2058.0,982.0,334.0,162.0,7.0,,6.0,49.0,109.0,334.0,3264.0,109.0
2020-11-08,VI,1405,,,,,,,,,1405.0,,,1405,23.0,,,,,,,,,23.0,,,23.0
2020-11-08,VT,2392,1900,205.0,,93.0,3.0,,,45.0,146.0,72.0,2100.0,220,59.0,56.0,,,2.0,,,,1.0,0.0,0.0,59.0,0.0
2020-11-08,WA,117331,33074,4556.0,29248.0,3902.0,1184.0,1726.0,2029.0,1390.0,40222.0,29248.0,47861.0,40222,2439.0,1653.0,74.0,344.0,169.0,61.0,41.0,30.0,43.0,24.0,344.0,2071.0,24.0
2020-11-08,WI,281910,209081,20056.0,,5858.0,3654.0,,,17788.0,25473.0,34323.0,200515.0,47072,2392.0,1935.0,266.0,,54.0,27.0,,,44.0,66.0,193.0,2090.0,109.0
2020-11-08,WV,28404,20478,1138.0,,,,,,6788.0,0.0,,,,502.0,398.0,14.0,,,,,,90.0,0.0,,,
2020-11-08,WY,17310,9093,146.0,1557.0,88.0,1013.0,44.0,,602.0,4763.0,1557.0,10986.0,4763,114.0,75.0,1.0,5.0,1.0,16.0,,,0.0,16.0,5.0,93.0,16.0
2020-11-04,AK,17860,5268,602.0,,708.0,3837.0,642.0,900.0,845.0,5058.0,1122.0,8188.0,8550,84.0,31.0,3.0,,8.0,27.0,7.0,3.0,1.0,4.0,1.0,71.0,12.0
2020-11-04,AL,197777,60135,38683.0,,639.0,,,,17467.0,80853.0,8439.0,79955.0,109383,3006.0,1576.0,1052.0,,9.0,,,,76.0,293.0,77.0,2374.0,555.0
2020-11-04,AR,115812,69950,22930.0,,1158.0,311.0,2432.0,859.0,6601.0,11571.0,17719.0,98092.0,1,2026.0,1355.0,356.0,,20.0,4.0,47.0,9.0,84.0,151.0,97.0,1929.0,0.0
2020-11-04,AS,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-04,AZ,250633,66420,7698.0,76360.0,2785.0,14761.0,,,8731.0,73878.0,76360.0,100395.0,73878,6059.0,2568.0,187.0,1805.0,68.0,647.0,,,101.0,683.0,1805.0,3571.0,683.0
2020-11-04,CA,940010,118777,28099.0,407046.0,37185.0,1899.0,3582.0,7765.0,64357.0,271300.0,407046.0,261664.0,271300,17752.0,5313.0,1316.0,8547.0,2071.0,58.0,84.0,143.0,77.0,143.0,8547.0,9062.0,143.0
2020-11-04,CO,117637,45972,4105.0,41537.0,1964.0,611.0,423.0,1835.0,1105.0,20068.0,41537.0,56015.0,20085,2147.0,1335.0,124.0,497.0,60.0,13.0,5.0,49.0,12.0,47.0,497.0,1598.0,52.0
2020-11-04,CT,75373,24962,8562.0,14664.0,1026.0,88.0,,675.0,1294.0,24102.0,14664.0,36607.0,24102,4645.0,3391.0,679.0,417.0,51.0,2.0,,39.0,22.0,44.0,417.0,4184.0,44.0
2020-11-04,DC,17601,4042,8662.0,,288.0,39.0,46.0,,4396.0,128.0,4396.0,11712.0,1493,647.0,67.0,484.0,81.0,8.0,,,,0.0,7.0,81.0,559.0,7.0
2020-11-04,DE,25534,10264,6564.0,5437.0,358.0,,,,1173.0,1738.0,5437.0,18359.0,1738,712.0,464.0,183.0,50.0,2.0,,,,12.0,1.0,50.0,661.0,1.0
2020-11-04,FL,821123,231358,115189.0,239214.0,,,,,54511.0,180851.0,239214.0,358047.0,223862,17131.0,8402.0,3044.0,4327.0,,,,,689.0,669.0,4327.0,11346.0,1458.0
2020-11-04,GA,366452,130472,100553.0,46818.0,6452.0,192.0,342.0,,9202.0,72421.0,46818.0,211238.0,108396,8522.0,4133.0,3213.0,479.0,141.0,8.0,6.0,,18.0,524.0,479.0,7500.0,543.0
2020-11-04,GU,4903,306,,,1213.0,,2633.0,,304.0,447.0,,,,83.0,,,,,,,,,83.0,,,83.0
2020-11-04,HI,15473,1357,218.0,,3335.0,,4257.0,,340.0,5966.0,,,,219.0,19.0,5.0,,124.0,,58.0,,5.0,8.0,,,
2020-11-04,IA,137326,100000,5479.0,,2739.0,888.0,824.0,,1369.0,26027.0,13698.0,97260.0,26027,1788.0,1457.0,59.0,,32.0,5.0,13.0,,8.0,214.0,80.0,1471.0,235.0
2020-11-04,ID,68314,37241,505.0,,474.0,966.0,164.0,0.0,6225.0,22739.0,9756.0,27482.0,31075,664.0,622.0,5.0,,6.0,13.0,,,14.0,4.0,83.0,577.0,4.0
2020-11-04,IL,443815,143405,50998.0,100554.0,9114.0,536.0,591.0,,15479.0,123138.0,100554.0,220123.0,123138,10216.0,5045.0,2347.0,1874.0,398.0,13.0,10.0,,54.0,475.0,1874.0,7867.0,192.0
2020-11-04,IN,191764,114608,15230.0,,2364.0,,,,24598.0,34964.0,14790.0,80606.0,96368,4464.0,2862.0,485.0,,23.0,,,,576.0,518.0,107.0,2135.0,2222.0
2020-11-04,KS,92215,62759,5579.0,,1887.0,685.0,,,5386.0,15919.0,18951.0,51319.0,21945,1087.0,791.0,105.0,,20.0,13.0,,,73.0,85.0,125.0,832.0,130.0
2020-11-04,KY,113009,70344,9472.0,,516.0,259.0,112.0,4926.0,,27380.0,7622.0,75596.0,29791,1514.0,1185.0,167.0,,12.0,,,39.0,,111.0,43.0,1313.0,158.0
2020-11-04,LA,190164,75411,65651.0,,9636.0,510.0,208.0,,16194.0,22554.0,,,190164,5975.0,3068.0,2586.0,,39.0,6.0,7.0,,26.0,243.0,161.0,5502.0,312.0
2020-11-04,MA,165161,52561,14128.0,39614.0,3825.0,,,,11262.0,43771.0,39614.0,81776.0,43771,10085.0,7615.0,791.0,688.0,245.0,,,,666.0,80.0,688.0,9317.0,80.0
2020-11-04,MD,148766,39978,45723.0,31214.0,2846.0,,,,6915.0,22090.0,31214.0,95462.0,22090,4172.0,1811.0,1677.0,470.0,153.0,,,,46.0,15.0,470.0,3687.0,15.0
2020-11-04,ME,7077,5056,1009.0,,136.0,16.0,4.0,44.0,190.0,622.0,234.0,5750.0,1093,150.0,132.0,4.0,,0.0,0.0,0.0,0.0,0.0,14.0,1.0,123.0,26.0
2020-11-04,MI,212160,116069,32183.0,,3741.0,1079.0,,12209.0,12334.0,34545.0,13485.0,137175.0,61500,7782.0,4402.0,2750.0,,96.0,26.0,,111.0,162.0,235.0,186.0,6346.0,1250.0
2020-11-04,MN,160923,91002,20302.0,19654.0,7587.0,1415.0,182.0,1752.0,2278.0,16751.0,19654.0,124518.0,16751,2530.0,2003.0,213.0,107.0,115.0,44.0,2.0,15.0,6.0,25.0,107.0,2398.0,25.0
2020-11-04,MO,193023,99137,21445.0,,1583.0,405.0,19.0,58.0,4536.0,65840.0,9380.0,98847.0,84796,3088.0,1631.0,509.0,,22.0,4.0,0.0,0.0,44.0,878.0,75.0,1928.0,1083.0
2020-11-04,MP,96,,,,,,,,,96.0,,,,2.0,,,,,,,,,2.0,,,
2020-11-04,MS,122275,48065,45303.0,3402.0,454.0,1366.0,,,6431.0,17254.0,3402.0,77785.0,41088,3397.0,1595.0,1534.0,43.0,8.0,86.0,,,47.0,84.0,43.0,2817.0,537.0
2020-11-04,MT,35955,13819,122.0,,71.0,3848.0,,,1094.0,17001.0,596.0,14667.0,20692,404.0,148.0,,,,90.0,,,,166.0,,,
2020-11-04,NC,282802,137158,51774.0,,4221.0,3848.0,367.0,,32074.0,53360.0,55797.0,132993.0,94012,4507.0,2643.0,1260.0,,51.0,63.0,7.0,,275.0,208.0,354.0,3604.0,549.0
2020-11-04,ND,48301,26327,1778.0,,736.0,2066.0,,619.0,108.0,16667.0,,,48301,454.0,,,,,,,,,454.0,,,454.0
2020-11-04,NE,75888,44723,2945.0,,1756.0,632.0,113.0,,2366.0,23353.0,14687.0,34831.0,26370,669.0,516.0,42.0,,19.0,13.0,0.0,,15.0,64.0,108.0,419.0,142.0
2020-11-04,NH,11563,7643,422.0,1258.0,304.0,15.0,6.0,110.0,159.0,1646.0,1258.0,18887.0,1646,484.0,430.0,9.0,14.0,4.0,0.0,0.0,0.0,1.0,26.0,14.0,910.0,26.0
2020-11-04,NJ,245257,63299,24308.0,48924.0,8000.0,,,,21343.0,79383.0,48924.0,116950.0,79383,16391.0,8777.0,2886.0,3240.0,888.0,,,,329.0,271.0,3240.0,12880.0,271.0
2020-11-04,NM,50251,7065,819.0,21643.0,391.0,10803.0,,,,9530.0,21643.0,19078.0,9530,1059.0,257.0,12.0,288.0,6.0,473.0,,,,23.0,288.0,748.0,23.0
2020-11-04,NV,104093,23813,6222.0,34277.0,5828.0,422.0,,,7710.0,25821.0,34277.0,43995.0,25821,1814.0,653.0,151.0,312.0,150.0,13.0,,,5.0,530.0,312.0,972.0,530.0
2020-11-04,NY,515815,,,,,,,,,515815.0,,,515815,33862.0,10213.0,7919.0,8156.0,2130.0,,,,2255.0,3189.0,8156.0,22517.0,3189.0
2020-11-04,OH,230209,136237,36380.0,,4851.0,261.0,277.0,6707.0,13732.0,31764.0,11614.0,160164.0,58431,5428.0,4215.0,908.0,,51.0,4.0,3.0,79.0,40.0,128.0,116.0,5087.0,225.0
2020-11-04,OK,127772,74249,8575.0,,3417.0,12686.0,,,4931.0,23914.0,18273.0,76202.0,33297,1392.0,1011.0,83.0,,25.0,123.0,,,44.0,106.0,81.0,1069.0,242.0
2020-11-04,OR,47049,20604,1476.0,,1290.0,1110.0,685.0,932.0,15135.0,5817.0,17192.0,23947.0,5910,705.0,474.0,20.0,,20.0,14.0,7.0,17.0,75.0,78.0,90.0,493.0,122.0
2020-11-04,PA,217666,90395,26002.0,,4417.0,,,,2233.0,94619.0,17575.0,57866.0,142225,8890.0,6479.0,1728.0,,173.0,,,,404.0,106.0,497.0,8287.0,106.0
2020-11-04,PR,69020,,,,,,,,,69020.0,,,,850.0,,,,,,,,,850.0,,,
2020-11-04,RI,35122,11097,3022.0,11370.0,482.0,94.0,0.0,233.0,428.0,8396.0,11370.0,15356.0,8396,1214.0,803.0,63.0,114.0,14.0,1.0,0.0,0.0,0.0,219.0,114.0,881.0,219.0
2020-11-04,SC,180870,75886,44937.0,,1723.0,,,,13230.0,45094.0,13303.0,100440.0,67127,3985.0,1974.0,1329.0,,27.0,,,,101.0,554.0,120.0,2886.0,979.0
2020-11-04,SD,49791,32589,1551.0,2115.0,897.0,6297.0,,,1135.0,5207.0,2115.0,42469.0,5207,460.0,333.0,5.0,6.0,7.0,75.0,,,5.0,29.0,6.0,425.0,29.0
2020-11-04,TN,269802,155188,44059.0,,2331.0,339.0,190.0,,28513.0,39182.0,28295.0,181317.0,60190,3478.0,2441.0,811.0,,27.0,4.0,3.0,,139.0,53.0,167.0,3224.0,87.0
2020-11-04,TX,926400,17595,9533.0,22986.0,847.0,,,,273.0,875166.0,22986.0,28248.0,875166,18320.0,5626.0,1949.0,9925.0,326.0,,,,96.0,398.0,9925.0,7997.0,398.0
2020-11-04,UT,121485,65768,2033.0,33618.0,2616.0,1817.0,4035.0,,11940.0,11898.0,33618.0,75969.0,11898,625.0,354.0,9.0,127.0,28.0,40.0,29.0,,46.0,33.0,127.0,465.0,33.0
2020-11-04,VA,185836,61090,36063.0,40352.0,5737.0,233.0,,1697.0,4373.0,36291.0,40352.0,109193.0,36291,3677.0,2039.0,979.0,330.0,159.0,7.0,,7.0,48.0,108.0,330.0,3239.0,108.0
2020-11-04,VI,1388,,,,,,,,,1388.0,,,1388,23.0,,,,,,,,,23.0,,,23.0
2020-11-04,VT,2267,1800,203.0,,83.0,3.0,,,40.0,138.0,71.0,2000.0,196,58.0,55.0,,,2.0,,,,1.0,0.0,0.0,58.0,0.0
2020-11-04,WA,111480,31429,4326.0,28461.0,3742.0,1163.0,1675.0,1923.0,1327.0,37434.0,28461.0,45585.0,37434,2416.0,1633.0,72.0,339.0,169.0,61.0,41.0,28.0,43.0,30.0,339.0,2047.0,30.0
2020-11-04,WI,257287,190112,18798.0,,5399.0,3286.0,,,16582.0,23110.0,32371.0,182779.0,42137,2229.0,1796.0,262.0,,49.0,27.0,,,40.0,55.0,188.0,1940.0,101.0
2020-11-04,WV,25987,19223,1101.0,,,,,,5663.0,0.0,,,,472.0,378.0,14.0,,,,,,80.0,0.0,,,
2020-11-04,WY,15044,8390,126.0,1470.0,88.0,925.0,50.0,,570.0,3421.0,1470.0,10149.0,3421,105.0,70.0,1.0,5.0,1.0,16.0,,,0.0,12.0,5.0,88.0,12.0
2020-11-01,AK,16705,5063,574.0,,680.0,3555.0,623.0,833.0,778.0,4599.0,1089.0,7914.0,7702,83.0,31.0,3.0,,8.0,27.0,7.0,2.0,1.0,4.0,1.0,69.0,13.0
2020-11-01,AL,193985,59056,38319.0,,628.0,,,,16739.0,79243.0,8394.0,78786.0,106805,2973.0,1555.0,1046.0,,9.0,,,,74.0,289.0,77.0,2346.0,550.0
2020-11-01,AR,113057,67721,22837.0,,1130.0,309.0,2487.0,837.0,6557.0,11179.0,17410.0,95646.0,1,1958.0,1290.0,347.0,,19.0,4.0,47.0,8.0,81.0,162.0,95.0,1863.0,0.0
2020-11-01,AS,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,AZ,247473,65521,7621.0,75735.0,2745.0,14631.0,,,8617.0,72603.0,75735.0,99135.0,72603,5981.0,2540.0,185.0,1793.0,68.0,639.0,,,99.0,657.0,1793.0,3531.0,657.0
2020-11-01,CA,926534,116385,27719.0,401503.0,36626.0,1879.0,3514.0,7562.0,63328.0,268018.0,401503.0,257013.0,268018,17667.0,5269.0,1308.0,8506.0,2060.0,58.0,82.0,142.0,74.0,168.0,8506.0,8993.0,168.0
2020-11-01,CO,109910,42337,3835.0,38963.0,1879.0,582.0,395.0,1670.0,1077.0,19179.0,38963.0,51775.0,19172,2105.0,1308.0,124.0,488.0,59.0,13.0,5.0,49.0,12.0,42.0,488.0,1570.0,47.0
2020-11-01,CT,71207,23943,8329.0,13807.0,994.0,77.0,,616.0,1183.0,22258.0,13807.0,35142.0,22258,4616.0,3373.0,674.0,412.0,50.0,2.0,,39.0,22.0,44.0,412.0,4160.0,44.0
2020-11-01,DC,17369,3943,8565.0,,285.0,40.0,47.0,,4366.0,123.0,4312.0,11528.0,1529,646.0,67.0,484.0,81.0,8.0,,,,0.0,6.0,81.0,559.0,6.0
2020-11-01,DE,25126,10018,6488.0,5379.0,350.0,,,,1152.0,1739.0,5379.0,18008.0,1739,710.0,463.0,183.0,50.0,1.0,,,,12.0,23.0,50.0,659.0,23.0
2020-11-01,FL,807412,226055,114096.0,234602.0,,,,,53716.0,178943.0,234602.0,350696.0,222114,16997.0,8330.0,3029.0,4297.0,,,,,678.0,663.0,4297.0,11252.0,1448.0
2020-11-01,GA,361982,127516,99081.0,46298.0,6253.0,182.0,340.0,,9173.0,73139.0,46298.0,207142.0,108542,7981.0,4075.0,3187.0,474.0,141.0,8.0,6.0,,18.0,72.0,474.0,7421.0,86.0
2020-11-01,GU,4690,299,,,1132.0,,2481.0,,288.0,490.0,,,,79.0,,,,,,,,,79.0,,,79.0
2020-11-01,HI,15154,1357,218.0,,3335.0,,4257.0,,340.0,5647.0,,,,219.0,19.0,5.0,,124.0,,58.0,,5.0,8.0,,,
2020-11-01,IA,129479,93871,5215.0,,2607.0,888.0,824.0,,1303.0,24771.0,13037.0,91263.0,24771,1717.0,1395.0,58.0,,31.0,4.0,13.0,,8.0,205.0,76.0,1413.0,226.0
2020-11-01,ID,65088,35386,491.0,,452.0,947.0,160.0,0.0,6023.0,21629.0,9444.0,26113.0,29530,630.0,588.0,5.0,,5.0,13.0,,,14.0,5.0,81.0,544.0,5.0
2020-11-01,IL,423539,135721,49620.0,97098.0,8721.0,500.0,587.0,,14740.0,116552.0,97098.0,209889.0,116552,10075.0,4944.0,2332.0,1856.0,397.0,13.0,10.0,,55.0,468.0,1856.0,7751.0,185.0
2020-11-01,IN,182108,106869,14656.0,,2217.0,,,,23612.0,34754.0,14142.0,75218.0,92748,4364.0,2775.0,481.0,,22.0,,,,561.0,525.0,104.0,2079.0,2181.0
2020-11-01,KS,85181,57987,5317.0,,1800.0,623.0,,,4974.0,14480.0,18225.0,46989.0,19967,1029.0,745.0,104.0,,19.0,12.0,,,69.0,80.0,120.0,787.0,122.0
2020-11-01,KY,108642,66782,9215.0,,516.0,255.0,107.0,4772.0,,26995.0,7381.0,73111.0,28150,1489.0,1166.0,166.0,,12.0,,,40.0,,105.0,42.0,1292.0,155.0
2020-11-01,LA,187720,73588,64688.0,,9425.0,500.0,202.0,,15988.0,23329.0,,,187720,5926.0,3026.0,2563.0,,39.0,6.0,7.0,,26.0,259.0,159.0,5430.0,337.0
2020-11-01,MA,159707,51326,13949.0,38643.0,3708.0,,,,10981.0,41100.0,38643.0,79964.0,41100,10013.0,7575.0,790.0,685.0,243.0,,,,664.0,56.0,685.0,9272.0,56.0
